gridx	gridy	x	y
3870	7772	967500	1943000
3849	7793	962250	1948250
3849	7792	962250	1948000
3769	7800	942250	1950000
3831	7842	957750	1960500
3853	7815	963250	1953750
3826	7842	956500	1960500
3833	7830	958250	1957500
3832	7781	958000	1945250
3843	7779	960750	1944750
3844	7779	961000	1944750
3860	7779	965000	1944750
3794	7799	948500	1949750
3797	7816	949250	1954000
3834	7839	958500	1959750
3832	7782	958000	1945500
3835	7777	958750	1944250
3875	7777	968750	1944250
3873	7777	968250	1944250
3852	7781	963000	1945250
3851	7817	962750	1954250
3766	7790	941500	1947500
3834	7785	958500	1946250
3790	7802	947500	1950500
3829	7820	957250	1955000
3801	7822	950250	1955500
3793	7822	948250	1955500
3802	7840	950500	1960000
3794	7828	948500	1957000
3844	7795	961000	1948750
3837	7838	959250	1959500
3781	7798	945250	1949500
3767	7798	941750	1949500
3770	7799	942500	1949750
3861	7782	965250	1945500
3857	7779	964250	1944750
3856	7780	964000	1945000
3853	7782	963250	1945500
3771	7802	942750	1950500
3769	7794	942250	1948500
3772	7793	943000	1948250
3771	7793	942750	1948250
3772	7803	943000	1950750
3767	7791	941750	1947750
3757	7805	939250	1951250
3795	7815	948750	1953750
3788	7819	947000	1954750
3789	7761	947250	1940250
3848	7814	962000	1953500
3852	7815	963000	1953750
3841	7813	960250	1953250
3804	7798	951000	1949500
3822	7822	955500	1955500
3837	7776	959250	1944000
3836	7809	959000	1952250
3830	7843	957500	1960750
3831	7760	957750	1940000
3814	7828	953500	1957000
3831	7787	957750	1946750
3783	7770	945750	1942500
3817	7771	954250	1942750
3845	7805	961250	1951250
3802	7803	950500	1950750
3836	7788	959000	1947000
3775	7782	943750	1945500
3803	7802	950750	1950500
3851	7820	962750	1955000
3854	7819	963500	1954750
3871	7792	967750	1948000
3812	7821	953000	1955250
3812	7822	953000	1955500
3813	7822	953250	1955500
3812	7823	953000	1955750
3820	7819	955000	1954750
3821	7819	955250	1954750
3813	7821	953250	1955250
3811	7821	952750	1955250
3811	7820	952750	1955000
3858	7780	964500	1945000
3835	7852	958750	1963000
3792	7769	948000	1942250
3830	7816	957500	1954000
3788	7765	947000	1941250
3791	7761	947750	1940250
3792	7761	948000	1940250
3848	7847	962000	1961750
3770	7780	942500	1945000
3785	7778	946250	1944500
3848	7810	962000	1952500
3848	7809	962000	1952250
3856	7770	964000	1942500
3850	7824	962500	1956000
3835	7787	958750	1946750
3854	7804	963500	1951000
3839	7843	959750	1960750
3775	7799	943750	1949750
3829	7773	957250	1943250
3858	7820	964500	1955000
3834	7786	958500	1946500
3800	7773	950000	1943250
3770	7778	942500	1944500
3827	7824	956750	1956000
3811	7822	952750	1955500
3805	7803	951250	1950750
3808	7795	952000	1948750
3878	7802	969500	1950500
3830	7838	957500	1959500
3829	7838	957250	1959500
3813	7792	953250	1948000
3826	7803	956500	1950750
3828	7804	957000	1951000
3830	7813	957500	1953250
3793	7815	948250	1953750
3867	7794	966750	1948500
3796	7779	949000	1944750
3767	7788	941750	1947000
3828	7838	957000	1959500
3854	7822	963500	1955500
3882	7811	970500	1952750
3870	7797	967500	1949250
3875	7790	968750	1947500
3871	7801	967750	1950250
3875	7794	968750	1948500
3867	7779	966750	1944750
3876	7776	969000	1944000
3850	7822	962500	1955500
3850	7823	962500	1955750
3851	7803	962750	1950750
3836	7784	959000	1946000
3793	7829	948250	1957250
3792	7829	948000	1957250
3793	7830	948250	1957500
3795	7824	948750	1956000
3786	7812	946500	1953000
3805	7798	951250	1949500
3835	7820	958750	1955000
3828	7842	957000	1960500
3828	7817	957000	1954250
3819	7805	954750	1951250
3761	7794	940250	1948500
3765	7791	941250	1947750
3862	7783	965500	1945750
3861	7783	965250	1945750
3873	7775	968250	1943750
3771	7771	942750	1942750
3782	7778	945500	1944500
3782	7777	945500	1944250
3827	7811	956750	1952750
3802	7842	950500	1960500
3826	7822	956500	1955500
3827	7822	956750	1955500
