gridx	gridy	x	y
9415	19485	941500	1948500
9477	19552	947700	1955200
9410	19436	941000	1943600
9410	19435	941000	1943500
9666	19459	966600	1945900
9667	19459	966700	1945900
9637	19504	963700	1950400
9632	19486	963200	1948600
9632	19487	963200	1948700
9633	19486	963300	1948600
9579	19539	957900	1953900
9578	19538	957800	1953800
9578	19539	957800	1953900
9581	19535	958100	1953500
9710	19496	971000	1949600
9622	19495	962200	1949500
9627	19563	962700	1956300
9636	19550	963600	1955000
9525	19488	952500	1948800
9559	19536	955900	1953600
9557	19536	955700	1953600
9556	19536	955600	1953600
9558	19536	955800	1953600
9458	19414	945800	1941400
9665	19483	966500	1948300
9660	19430	966000	1943000
9661	19431	966100	1943100
9661	19430	966100	1943000
9472	19392	947200	1939200
9555	19432	955500	1943200
9555	19431	955500	1943100
9621	19506	962100	1950600
9622	19506	962200	1950600
9615	19483	961500	1948300
9615	19482	961500	1948200
9550	19529	955000	1952900
9550	19530	955000	1953000
9549	19530	954900	1953000
9544	19543	954400	1954300
9545	19544	954500	1954400
9545	19543	954500	1954300
9543	19543	954300	1954300
9543	19542	954300	1954200
9543	19526	954300	1952600
9540	19530	954000	1953000
9540	19531	954000	1953100
9541	19531	954100	1953100
9540	19532	954000	1953200
9549	19531	954900	1953100
9550	19531	955000	1953100
9549	19532	954900	1953200
9550	19532	955000	1953200
9544	19544	954400	1954400
9544	19545	954400	1954500
9542	19542	954200	1954200
9542	19543	954200	1954300
9540	19533	954000	1953300
9541	19533	954100	1953300
9541	19532	954100	1953200
9551	19524	955100	1952400
9551	19525	955100	1952500
9551	19526	955100	1952600
9545	19532	954500	1953200
9546	19532	954600	1953200
9524	19527	952400	1952700
9525	19528	952500	1952800
9524	19528	952400	1952800
9540	19534	954000	1953400
9541	19534	954100	1953400
9541	19535	954100	1953500
9542	19534	954200	1953400
9601	19616	960100	1961600
9602	19616	960200	1961600
9545	19533	954500	1953300
9546	19533	954600	1953300
9544	19532	954400	1953200
9544	19533	954400	1953300
9525	19527	952500	1952700
9502	19497	950200	1949700
9542	19533	954200	1953300
9539	19534	953900	1953400
9539	19535	953900	1953500
9540	19535	954000	1953500
9541	19536	954100	1953600
9560	19537	956000	1953700
9560	19536	956000	1953600
9559	19537	955900	1953700
9545	19534	954500	1953400
9546	19534	954600	1953400
9470	19444	947000	1944400
9470	19443	947000	1944300
9541	19537	954100	1953700
9544	19534	954400	1953400
9526	19527	952600	1952700
9527	19528	952700	1952800
9527	19527	952700	1952700
9528	19528	952800	1952800
9542	19537	954200	1953700
9542	19536	954200	1953600
9559	19538	955900	1953800
9560	19538	956000	1953800
9544	19535	954400	1953500
9545	19535	954500	1953500
9528	19529	952800	1952900
9529	19528	952900	1952800
9529	19529	952900	1952900
9541	19538	954100	1953800
9542	19538	954200	1953800
9560	19539	956000	1953900
9545	19536	954500	1953600
9544	19536	954400	1953600
9546	19536	954600	1953600
9546	19535	954600	1953500
9529	19530	952900	1953000
9530	19530	953000	1953000
9542	19539	954200	1953900
9560	19540	956000	1954000
9531	19530	953100	1953000
9532	19531	953200	1953100
9532	19530	953200	1953000
9541	19541	954100	1954100
9541	19540	954100	1954000
9541	19539	954100	1953900
9561	19540	956100	1954000
9551	19522	955100	1952200
9552	19522	955200	1952200
9552	19523	955200	1952300
9551	19523	955100	1952300
9545	19537	954500	1953700
9544	19537	954400	1953700
9533	19531	953300	1953100
9533	19530	953300	1953000
9542	19540	954200	1954000
9543	19540	954300	1954000
9543	19539	954300	1953900
9550	19522	955000	1952200
9550	19523	955000	1952300
9545	19538	954500	1953800
9544	19538	954400	1953800
9534	19531	953400	1953100
9534	19530	953400	1953000
9535	19530	953500	1953000
9535	19529	953500	1952900
9534	19529	953400	1952900
9535	19531	953500	1953100
9552	19525	955200	1952500
9545	19539	954500	1953900
9544	19539	954400	1953900
9536	19533	953600	1953300
9536	19532	953600	1953200
9537	19532	953700	1953200
9537	19531	953700	1953100
9538	19531	953800	1953100
9543	19541	954300	1954100
9542	19541	954200	1954100
9550	19526	955000	1952600
9546	19539	954600	1953900
9545	19540	954500	1954000
9546	19540	954600	1954000
9545	19541	954500	1954100
9546	19541	954600	1954100
9538	19532	953800	1953200
9539	19532	953900	1953200
9539	19531	953900	1953100
9537	19530	953700	1953000
9538	19530	953800	1953000
9539	19533	953900	1953300
9540	19527	954000	1952700
9540	19526	954000	1952600
9551	19527	955100	1952700
9550	19527	955000	1952700
9541	19526	954100	1952600
9541	19527	954100	1952700
9542	19526	954200	1952600
9550	19528	955000	1952800
9551	19528	955100	1952800
9547	19542	954700	1954200
9546	19542	954600	1954200
9547	19543	954700	1954300
9545	19542	954500	1954200
